Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_DHW,SSTA_DHW_Standard_Deviation,TSA,TSA_Standard_Deviation,Date,Site_Comments,Sample_Comments,Bleaching_Comments
Central Indo-Pacific,Southern Great Barrier Reef,Australia,682.44,Exposed,51.46,31,10,2017,6,Hard Coral,63.75,Population,1,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-31,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,682.44,Exposed,51.46,31,10,2017,6,Nutrient Indicator Algae,0,Population,1,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-31,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,847.35,Exposed,51.57,31,10,2017,6,Hard Coral,46.88,Population,1,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-31,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,847.35,Exposed,51.57,31,10,2017,6,Nutrient Indicator Algae,0,Population,1,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-31,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,29487.39,Sheltered,48.1,7,8,2017,2,Hard Coral,22.5,Population,1.25,296.83,0.98,0.77,0,1.28,2.77,-4.93,2.23,2017-08-07,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,29487.39,Sheltered,48.1,7,8,2017,2,Nutrient Indicator Algae,11.88,Population,1.25,296.83,0.98,0.77,0,1.28,2.77,-4.93,2.23,2017-08-07,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,40871.05,Sheltered,48.37,5,8,2017,5,Hard Coral,47.5,Population,1.25,298.59,-2.3,2.23,0,0,12.28,-2.57,2.24,2017-08-05,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,40871.05,Sheltered,48.37,5,8,2017,5,Nutrient Indicator Algae,0,Population,1.25,298.59,-2.3,2.23,0,0,12.28,-2.57,2.24,2017-08-05,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,2,11,2017,6,Hard Coral,54.38,Population,1.25,299.35,0.82,0.72,0,9.31,2.65,-2.29,2.22,2017-11-02,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,2,11,2017,6,Nutrient Indicator Algae,0,Population,1.25,299.35,0.82,0.72,0,9.31,2.65,-2.29,2.22,2017-11-02,nd,nd,nd
